date,source,author,region,district,location1,location2,type,label,description,text,link
26-Apr,twitter,HR/Sitrep2,far-western,achham,NA,bayalpata hospital,observation,medical,hospital is functioning,"@RTWB_Canada has heard from Bayalpata Hospital, CIWEC, IFCH, Lamjung & United mission hospital -Tansen. Hospitals are functioning.",https://twitter.com/RTWB_Canada/status/592409213177040897
26-Apr,twitter,HR/Sitrep2,central,kathmandu,NA,CIWEC,observation,medical,hospital is functioning,"@RTWB_Canada has heard from Bayalpata Hospital, CIWEC, IFCH, Lamjung & United mission hospital -Tansen. Hospitals are functioning.",https://twitter.com/RTWB_Canada/status/592409213177040897
26-Apr,twitter,HR/Sitrep2,central,kathmandu,NA,IFCH,observation,medical,hospital is functioning,"@RTWB_Canada has heard from Bayalpata Hospital, CIWEC, IFCH, Lamjung & United mission hospital -Tansen. Hospitals are functioning.",https://twitter.com/RTWB_Canada/status/592409213177040897
26-Apr,twitter,HR/Sitrep2,western,lamjung,NA,lamjung hospital,observation,medical,hospital is functioning,"@RTWB_Canada has heard from Bayalpata Hospital, CIWEC, IFCH, Lamjung & United mission hospital -Tansen. Hospitals are functioning.",https://twitter.com/RTWB_Canada/status/592409213177040897
26-Apr,twitter,HR/Sitrep2,western,palpa,NA,united mission hospital (tansen?),observation,medical,hospital is functioning,"@RTWB_Canada has heard from Bayalpata Hospital, CIWEC, IFCH, Lamjung & United mission hospital -Tansen. Hospitals are functioning.",https://twitter.com/RTWB_Canada/status/592409213177040897
26-Apr,twitter,HR/Sitrep2,central,kathmandu,NA,airport,observation,transport,opening to commercial flights on 26th 4pm,The airport in Khatmandu planning to reopen to commercial flights on April 26 but flights cancelled until 4:00pm. (,https://twitter.com/kathmandupost/status/592251549566377984
27-Apr,news media,HR/Sitrep3,NA,NA,NA,NA,observation,casualties,"over 4,200 people died; 7,500 injured","As of April 27, the Ministry of Affairs estimates over 4,200 people have died and over 7,500 have been injured.",http://www.washingtonpost.com/world/rescue-crews-expand-helicopter-sorties-to-reach-remote-villages/2015/04/27/e44280c2-ec63-11e4-8050-839e9234b303_story.html
27-Apr,twitter,HR/Sitrep3,central,kathmandu,bhuikhel,NA,need,nutrition,in need of food,"Bhuikhel (coordinates: 27.713116, 85.293746) has no food/water or shelter",https://twitter.com/brabimkumar/status/592577921807593472
27-Apr,twitter,HR/Sitrep3,central,kathmandu,bhuikhel,NA,need,sanitation,in need of water,"Bhuikhel (coordinates: 27.713116, 85.293746) has no food/water or shelter",https://twitter.com/brabimkumar/status/592577921807593472
27-Apr,twitter,HR/Sitrep3,central,kathmandu,bhuikhel,NA,need,shelter,in need of shelter,"Bhuikhel (coordinates: 27.713116, 85.293746) has no food/water or shelter",https://twitter.com/brabimkumar/status/592577921807593472
27-Apr,twitter,HR/Sitrep3,central,kathmandu,,"chappro, jadibuti",need,shelter,in need of tent,"Chappro, Jadibuti - Need proper tent, someone Plz #help #NepalQuake",https://twitter.com/swarupbaba/status/592529037882339329
27-Apr,facebook,HR/Sitrep3,central,bhaktapur,nagarkot,NA,observation,general assessment,community affected,"Nagarkot (coordinates: 27.713930,85.499878) - Affected",https://www.facebook.com/Shraddha.pant/posts/10152706526685974?comment_id=10152706569885974&offset=0&total_comments=3&notif_t=feed_comment
27-Apr,twitter,HR/Sitrep3,central,dhading,NA,NA,observation,general assessment,district needs urgent help,Reports that the district needs urgent help.,https://twitter.com/onashibasnet/status/592693876349116419
27-Apr,news media,HR/Sitrep3,central,dhading,ri,NA,observation,transport,rescue teams unable to reach village,"Rescue teams unable to reach Dhading District including Ri (28.107901,85.001038), Jharlang (28.122881,85.064491), Lapa (28.174700,85.022957), Tipling (28.235840,85.136681), Sertung (28.217171,85.120407) and Tripureshwar (coordinates not found). Efforts to bring in relief via helicopter have still been unsuccessful as the helicopters are unable to land at these villages.",http://myrepublica.com/society/item/20039-rescue-teams-fail-to-reach-five-villages-in-dhading.html
27-Apr,news media,HR/Sitrep3,central,dhading,jharlang,NA,observation,transport,rescue teams unable to reach village,"Rescue teams unable to reach Dhading District including Ri (28.107901,85.001038), Jharlang (28.122881,85.064491), Lapa (28.174700,85.022957), Tipling (28.235840,85.136681), Sertung (28.217171,85.120407) and Tripureshwar (coordinates not found). Efforts to bring in relief via helicopter have still been unsuccessful as the helicopters are unable to land at these villages.",http://myrepublica.com/society/item/20039-rescue-teams-fail-to-reach-five-villages-in-dhading.html
27-Apr,news media,HR/Sitrep3,central,dhading,lapa,NA,observation,transport,rescue teams unable to reach village,"Rescue teams unable to reach Dhading District including Ri (28.107901,85.001038), Jharlang (28.122881,85.064491), Lapa (28.174700,85.022957), Tipling (28.235840,85.136681), Sertung (28.217171,85.120407) and Tripureshwar (coordinates not found). Efforts to bring in relief via helicopter have still been unsuccessful as the helicopters are unable to land at these villages.",http://myrepublica.com/society/item/20039-rescue-teams-fail-to-reach-five-villages-in-dhading.html
27-Apr,news media,HR/Sitrep3,central,dhading,tipling,NA,observation,transport,rescue teams unable to reach village,"Rescue teams unable to reach Dhading District including Ri (28.107901,85.001038), Jharlang (28.122881,85.064491), Lapa (28.174700,85.022957), Tipling (28.235840,85.136681), Sertung (28.217171,85.120407) and Tripureshwar (coordinates not found). Efforts to bring in relief via helicopter have still been unsuccessful as the helicopters are unable to land at these villages.",http://myrepublica.com/society/item/20039-rescue-teams-fail-to-reach-five-villages-in-dhading.html
27-Apr,news media,HR/Sitrep3,central,dhading,sertung,NA,observation,transport,rescue teams unable to reach village,"Rescue teams unable to reach Dhading District including Ri (28.107901,85.001038), Jharlang (28.122881,85.064491), Lapa (28.174700,85.022957), Tipling (28.235840,85.136681), Sertung (28.217171,85.120407) and Tripureshwar (coordinates not found). Efforts to bring in relief via helicopter have still been unsuccessful as the helicopters are unable to land at these villages.",http://myrepublica.com/society/item/20039-rescue-teams-fail-to-reach-five-villages-in-dhading.html
27-Apr,news media,HR/Sitrep3,central,dhading,tripureshwar,NA,observation,transport,rescue teams unable to reach village,"Rescue teams unable to reach Dhading District including Ri (28.107901,85.001038), Jharlang (28.122881,85.064491), Lapa (28.174700,85.022957), Tipling (28.235840,85.136681), Sertung (28.217171,85.120407) and Tripureshwar (coordinates not found). Efforts to bring in relief via helicopter have still been unsuccessful as the helicopters are unable to land at these villages.",http://myrepublica.com/society/item/20039-rescue-teams-fail-to-reach-five-villages-in-dhading.html
27-Apr,twitter,HR/Sitrep3,central,dhading,NA,NA,observation,general assessment,communities not reached for 60 hours,"Dadhing-1 - @brb_laaldhwoj hernus 1 patak 1 no chhetra dhading 60 ghanta bo janata vokae khulla chaur ma baseko plz help help help dhading... Translation: ""Pay attention to us for once, its been 60 hours, people are hungry sitting in the open field. Please Help""",https://twitter.com/sushilregmi5/status/592545588383600640
27-Apr,twitter,HR/Sitrep3,central,dolakha,upper tamakoshi hydro electrical project,NA,observation,search&rescue,25 people trapped alive,25 people trapped in Upper Tamakoshi Hydro Electrical project Nepal Alive. 200 kms from Kathmandu Contact 09779844309933 Amit. (,https://twitter.com/ILoveSiliguri/status/592576426362019840
27-Apr,twitter,HR/Sitrep3,western,gorkha,NA,NA,need,shelter,unidentified village needs blankets and tents,"A village needs tents, blankets and supplies. Contact 9851194247 for more info.",https://twitter.com/subhash580/status/592511814119755778
27-Apr,online community,HR/Sitrep3,western,gorkha,barpak,NA,observation,damage,village mostly destroyed,"Barpak and Laprak Villages (coordinates: 28.200951,84.746758 and 28.216709,84.800980) Mostly destroyed, near the epicenter, with photos showing damage. Barpak already reached by heli, with 87 wounded evacuated.",http://umap.openstreetmap.fr/fr/map/nepal-254-earthquake-damage
27-Apr,facebook,HR/Sitrep3,western,gorkha,laprak,NA,observation,damage,village mostly destroyed,"Laprak (coordinates: 28.216709,84.800980) - People in Laprak need help and no efforts have been made to reach out in this area.",https://www.facebook.com/News24nepal.tv/photos/pcb.961652403865505/961651300532282/?type=1
27-Apr,facebook,HR/Sitrep3,western,gorkha,laprak,NA,need,general assessment,people need help; no effort to reach this area,"Laprak (coordinates: 28.216709,84.800980) - People in Laprak need help and no efforts have been made to reach out in this area.",https://www.facebook.com/News24nepal.tv/photos/pcb.961652403865505/961651300532282/?type=2
27-Apr,twitter,HR/Sitrep3,western,gorkha,NA,NA,need,search&rescue,World Vision needs s&r assistance,"World Vision Asia-Pacific staff in need of: search and rescue, food, blankets, medicatl treatment, clearing blocked roads.",https://twitter.com/WVAsia/status/592580844700631040
27-Apr,twitter,HR/Sitrep3,western,gorkha,NA,NA,need,nutrition,World Vision needs nutrition assistance,"World Vision Asia-Pacific staff in need of: search and rescue, food, blankets, medicatl treatment, clearing blocked roads.",https://twitter.com/WVAsia/status/592580844700631040
27-Apr,twitter,HR/Sitrep3,western,gorkha,NA,NA,need,shelter,World Vision needs shelter assistance,"World Vision Asia-Pacific staff in need of: search and rescue, food, blankets, medicatl treatment, clearing blocked roads.",https://twitter.com/WVAsia/status/592580844700631040
27-Apr,twitter,HR/Sitrep3,western,gorkha,NA,NA,need,medical,World Vision needs medical assistance,"World Vision Asia-Pacific staff in need of: search and rescue, food, blankets, medicatl treatment, clearing blocked roads.",https://twitter.com/WVAsia/status/592580844700631040
27-Apr,twitter,HR/Sitrep3,western,gorkha,NA,NA,need,transport,World Vision needs transport assistance,"World Vision Asia-Pacific staff in need of: search and rescue, food, blankets, medicatl treatment, clearing blocked roads.",https://twitter.com/WVAsia/status/592580844700631040
27-Apr,online community,HR/Sitrep3,western,gorkha,saurpani,NA,observation,casualties,more than 20 deaths,"Saurpani (coordinates: 28.130171,84.705971) - Death toll in Saurpan, Gorkha #NepalQuake rises to more than 20 : rescue team can not reach there because of landslide and heavy rain.",http://www.saurpani.org/death-toll-in-saurpani-gorkha-nepal
27-Apr,online community,HR/Sitrep3,western,gorkha,saurpani,NA,observation,transport,transport impossible because of landslides/rain,"Saurpani (coordinates: 28.130171,84.705971) - Death toll in Saurpan, Gorkha #NepalQuake rises to more than 20 : rescue team can not reach there because of landslide and heavy rain.",http://www.saurpani.org/death-toll-in-saurpani-gorkha-nepal
27-Apr,twitter,HR/Sitrep3,western,gorkha,NA,NA,observation,search&rescue,200 people trapped; many dying due to blood loss,"Translation from Nepali: ""Provide any help, government support. 200 people in gorkha trapped. many dying due to blood loss.""",https://twitter.com/bhoowan/status/59203827388055552
27-Apr,facebook,HR/Sitrep3,central,dolakha,NA,NA,observation,general assessment,area affected,"Dolakha (coordinates: 27.677931,86.078018) Local media reported that it was affected.",https://www.facebook.com/Shraddha.pant/posts/1015270
27-Apr,facebook,HR/Sitrep3,central,kavrepalanchok,paunati,NA,observation,general assessment,area affected,"Panauti (coordinates: 27.583333, 85.516667) - Affected",https://www.facebook.com/Shraddha.pant/posts/1015270
27-Apr,facebook,HR/Sitrep3,western,kaski,NA,NA,observation,general assessment,areas between kathmandu and pokhara affected,"Areas between Kathmandu and Pokhara (Pokhara coordinates 28.233700,83.998100) Affected",https://www.facebook.com/Shraddha.pant/posts/10152706526685974?comment_id=10152706569885974&offset=0&total_comments=3&notif_t=feed_comment
27-Apr,twitter,HR/Sitrep3,central,lalitpur,kusunti,academy school ground,need,nutrition,food needed,"Food/water needed asap for a shelter on an academy school ground in Kusunti (near Ekantakuna) (coordinates: 27.670186, 85.309015)",https://twitter.com/tw_bhav/status/592537283581980672
27-Apr,twitter,HR/Sitrep3,central,lalitpur,kusunti,academy school ground,need,sanitation,water needed,"Food/water needed asap for a shelter on an academy school ground in Kusunti (near Ekantakuna) (coordinates: 27.670186, 85.309015)",https://twitter.com/tw_bhav/status/592537283581980672
27-Apr,twitter,HR/Sitrep3,central,lalitpur,harrisiddhi,NA,observation,general assessment,has not received any aid,"Harrisiddhi (coordinates: 27.640000, 85.35) has not received any aid yet",https://twitter.com/shresthasubina/status/592583915149369344
27-Apr,twitter,HR/Sitrep3,central,lalitpur,imadol,NA,observation,population behavior,aid packages for this town were looted,"Imadol (coordinates: 27.658381,85.344147) has not received aid yet. VDC told them that all the aid packages on vehicles were looted in Patan.",https://twitter.com/bipiiin/status/592595383278116864
27-Apr,facebook,HR/Sitrep3,central,rasuwa,langtang,NA,observation,population behavior,ppl flee from village; many badly wounded,"Langtang Village (coordinates: 28.266701,85.616699). My son, Kevin Krogh, is part of an expedition that was traveling in the Langtang Valley at the time of the earthquake. They were above the devastation in Langtang Village at the time of the quake, and are now working to help refugees coming up from that area. Please send aid to this region as soon as possible. The following is direct info from his wife, Kathleen. ""Kat called again to share the names of new people coming to the camp. Avalanches have buried Langtang Village, and survivors are starting to come up the mountain to Kyanjin Gompa. Many are badly wounded. Brigida is a nurse, but she is the only medical person on hand and she is overwhelmed."" (Reply to US Embassy post)",https://www.facebook.com/nepal.usembassy
27-Apr,facebook,HR/Sitrep3,western,lamjung,dudh pokhari,NA,observation,damage,447 houses destroyed; 67 houses damaged,"Dudh Pokhari (coordinates: 28.236540,84.589828) - Translation from Nepali: In dudhpokhari, 447 houses are destroyed, ward - 9's 67 houses are damaged. but no human casualties. in dudhpokhari, 447 houses are destroyed, ward - 9's 67 houses are damaged. but no human casualties",https://www.facebook.com/mypromotelamjun
27-Apr,facebook,HR/Sitrep3,western,lamjung,dudh pokhari,NA,observation,casualties,no human casualties,"Dudh Pokhari (coordinates: 28.236540,84.589828) - Translation from Nepali: In dudhpokhari, 447 houses are destroyed, ward - 9's 67 houses are damaged. but no human casualties. in dudhpokhari, 447 houses are destroyed, ward - 9's 67 houses are damaged. but no human casualties",https://www.facebook.com/mypromotelamjun
27-Apr,twitter,HR/Sitrep3,central,nuwakot,thansing,NA,need,nutrition,people in need of food,"Thansing (27.870000, 85.27) - people are in need of food water and shelter.",https://twitter.com/pandeyabaau/status/5
27-Apr,twitter,HR/Sitrep3,central,nuwakot,thansing,NA,need,sanitation,people in need of water,"Thansing (27.870000, 85.27) - people are in need of food water and shelter.",https://twitter.com/pandeyabaau/status/6
27-Apr,twitter,HR/Sitrep3,central,nuwakot,thansing,NA,need,shelter,people in need of shelter,"Thansing (27.870000, 85.27) - people are in need of food water and shelter.",https://twitter.com/pandeyabaau/status/7
27-Apr,facebook,HR/Sitrep3,central,nuwakot,madanpur,NA,need,shelter,tents needed,"Madanpur (coordinates: 27.856489,85.187210) - Tents are needed in the Madanpur",https://www.facebook.com/navaraj.adhikar
27-Apr,twitter,HR/Sitrep3,central,rasuwa,rasuwagadi,hydropower tunnel,observation,casualties,159 workers trapped (help underway),"Translation from Nepali: 159 works trapped in a tunnel in Rasuwagadi hydropower, But a helicopter has been sent.",https://twitter.com/pahilopost/status/59
27-Apr,twitter,HR/Sitrep3,central,rasuwa,dhunche,NA,need,general assessment,500 people in need of help,"Dhunche (coordinates: 28.116667, 85.283333) - 500 people are in need of help in Dhunche, 50 KM from Kathmandu (28.1167 N, 85.2833 E) (",https://twitter.com/pratikdawda/status/592566232492081153 https://twitter.com/akashpunshi/status/592575277441519616
27-Apr,facebook,HR/Sitrep3,central,sindhupalchok,chautara,NA,observation,casualties,many people in old buildings lost their lives,"Chautara (27.773581,85.716309) - in northern Nepal about 36.5 km away from Kathmandu. Unconfirmed report that many people living in old buildings lost their lives. They need water, electricity, food, and shelter, probably medical help.",https://www.facebook.com/rojina.shrestha.12/posts/10153288822679868?fref=nf
27-Apr,facebook,HR/Sitrep3,central,sindhupalchok,chautara,NA,need,nutrition,food needed,"Chautara (27.773581,85.716309) - in northern Nepal about 36.5 km away from Kathmandu. Unconfirmed report that many people living in old buildings lost their lives. They need water, electricity, food, and shelter, probably medical help.",https://www.facebook.com/rojina.shrestha.12/posts/10153288822679868?fref=nf
27-Apr,facebook,HR/Sitrep3,central,sindhupalchok,chautara,NA,need,sanitation,water needed,"Chautara (27.773581,85.716309) - in northern Nepal about 36.5 km away from Kathmandu. Unconfirmed report that many people living in old buildings lost their lives. They need water, electricity, food, and shelter, probably medical help.",https://www.facebook.com/rojina.shrestha.12/posts/10153288822679868?fref=nf
27-Apr,facebook,HR/Sitrep3,central,sindhupalchok,chautara,NA,need,medical,maybe medical help needed,"Chautara (27.773581,85.716309) - in northern Nepal about 36.5 km away from Kathmandu. Unconfirmed report that many people living in old buildings lost their lives. They need water, electricity, food, and shelter, probably medical help.",https://www.facebook.com/rojina.shrestha.12/posts/10153288822679868?fref=nf
27-Apr,facebook,HR/Sitrep3,central,sindhupalchok,chautara,NA,need,shelter,shelter needed,"Chautara (27.773581,85.716309) - in northern Nepal about 36.5 km away from Kathmandu. Unconfirmed report that many people living in old buildings lost their lives. They need water, electricity, food, and shelter, probably medical help.",https://www.facebook.com/rojina.shrestha.12/posts/10153288822679868?fref=nf
27-Apr,personal contacts/email,HR/Sitrep3,central,sindhupalchok,kodari village,NA,observation,damage,damage,"Kodari village (coordinates: 27.960569,85.956673) - unconfirmed reports of damage and need for food, water, shelter, and maybe medical help. (direct message from previous source).",NA
27-Apr,personal contacts/email,HR/Sitrep3,central,sindhupalchok,kodari village,NA,need,nutrition,food needed,"Kodari village (coordinates: 27.960569,85.956673) - unconfirmed reports of damage and need for food, water, shelter, and maybe medical help. (direct message from previous source).",NA
27-Apr,personal contacts/email,HR/Sitrep3,central,sindhupalchok,kodari village,NA,need,sanitation,water needed,"Kodari village (coordinates: 27.960569,85.956673) - unconfirmed reports of damage and need for food, water, shelter, and maybe medical help. (direct message from previous source).",NA
27-Apr,personal contacts/email,HR/Sitrep3,central,sindhupalchok,kodari village,NA,need,shelter,shelter needed,"Kodari village (coordinates: 27.960569,85.956673) - unconfirmed reports of damage and need for food, water, shelter, and maybe medical help. (direct message from previous source).",NA
27-Apr,personal contacts/email,HR/Sitrep3,central,sindhupalchok,kodari village,NA,need,medical,maybe medical help needed,"Kodari village (coordinates: 27.960569,85.956673) - unconfirmed reports of damage and need for food, water, shelter, and maybe medical help. (direct message from previous source).",NA
27-Apr,personal contacts/email,HR/Sitrep3,central,sindhupalchok,ratankot,NA,observation,casualties,people dying from hunger,"Ratankot (27.6988, 85.8392) - In Sindhupalchowk, people continue to die due to lack of food. Children are hungry. There is no food to eat or place to live. So, please make blankets and temporary shelters available along with food through rescue teams in the village of Ratankot, Sindhupalchowk. Please contact Shambhu Lama, he's from Ratankot, Sindhupalchowk. His contact number is: 9851001104.",NA
27-Apr,personal contacts/email,HR/Sitrep3,central,sindhupalchok,ratankot,NA,need,nutrition,food needed,"Ratankot (27.6988, 85.8392) - In Sindhupalchowk, people continue to die due to lack of food. Children are hungry. There is no food to eat or place to live. So, please make blankets and temporary shelters available along with food through rescue teams in the village of Ratankot, Sindhupalchowk. Please contact Shambhu Lama, he's from Ratankot, Sindhupalchowk. His contact number is: 9851001104.",NA
27-Apr,personal contacts/email,HR/Sitrep3,central,sindhupalchok,ratankot,NA,need,shelter,shelter: blankets and tents,"Ratankot (27.6988, 85.8392) - In Sindhupalchowk, people continue to die due to lack of food. Children are hungry. There is no food to eat or place to live. So, please make blankets and temporary shelters available along with food through rescue teams in the village of Ratankot, Sindhupalchowk. Please contact Shambhu Lama, he's from Ratankot, Sindhupalchowk. His contact number is: 9851001104.",NA
27-Apr,facebook,HR/Sitrep3,central,sindhupalchok,bhotsipar village,jhulunge gau,observation,damage,more than 150 houses destroyed,"Bhotsipar Village - Urgent help is needed in Sindupalchok District, Bhotsipar Village Development, Ward No 9, Jhulunge Gau. More than 150 Houses has been destroyed. People are injured. They are completely out of food, drinking water and shelter. Please send a rescue team. (FB comment in timeline)",https://www.facebook.com/earthquakenepal2015?fref=ts
27-Apr,facebook,HR/Sitrep3,central,sindhupalchok,bhotsipar village,jhulunge gau,observation,medical,people injured,"Bhotsipar Village - Urgent help is needed in Sindupalchok District, Bhotsipar Village Development, Ward No 9, Jhulunge Gau. More than 150 Houses has been destroyed. People are injured. They are completely out of food, drinking water and shelter. Please send a rescue team. (FB comment in timeline)",https://www.facebook.com/earthquakenepal2015?fref=ts
27-Apr,facebook,HR/Sitrep3,central,sindhupalchok,bhotsipar village,jhulunge gau,need,nutrition,food needed,"Bhotsipar Village - Urgent help is needed in Sindupalchok District, Bhotsipar Village Development, Ward No 9, Jhulunge Gau. More than 150 Houses has been destroyed. People are injured. They are completely out of food, drinking water and shelter. Please send a rescue team. (FB comment in timeline)",https://www.facebook.com/earthquakenepal2015?fref=ts
27-Apr,facebook,HR/Sitrep3,central,sindhupalchok,bhotsipar village,jhulunge gau,need,sanitation,drinking water needed,"Bhotsipar Village - Urgent help is needed in Sindupalchok District, Bhotsipar Village Development, Ward No 9, Jhulunge Gau. More than 150 Houses has been destroyed. People are injured. They are completely out of food, drinking water and shelter. Please send a rescue team. (FB comment in timeline)",https://www.facebook.com/earthquakenepal2015?fref=ts
27-Apr,facebook,HR/Sitrep3,central,sindhupalchok,bhotsipar village,jhulunge gau,need,shelter,shelter needed,"Bhotsipar Village - Urgent help is needed in Sindupalchok District, Bhotsipar Village Development, Ward No 9, Jhulunge Gau. More than 150 Houses has been destroyed. People are injured. They are completely out of food, drinking water and shelter. Please send a rescue team. (FB comment in timeline)",https://www.facebook.com/earthquakenepal2015?fref=ts
27-Apr,personal contacts/email,HR/Sitrep3,eastern,solukhumbu,NA,lukla airport,observation,transport,airport open; flights subject to weather,"Apr27 Lukla Airport (coordinates 27.687778, 86.731389) update - Airport in Lukla is open, but flights are subject to weather. Flights include transport by helicopter and plane. There is a waiting list for injured hikers, non-injured hikers are requested to stand-by until all the injured are removed. There are many people (unconfirmed reports >1000) waiting for flights. A priority has been placed on airlifting injured first. Eye witness reports indicate active flights are only a few each day (unconfirmed).",NA
27-Apr,facebook,HR/Sitrep3,western,gorkha,thumi,NA,observation,damage,devastation that has gone unnoticed,"Gorkha Region (Northern area) (Coordinates: 28.000000, 84.633333)  Translation from post in Nepali: the northern area in Gorkha needs medical help for injured. According to the person, the devastation at Aarbang, Thumi (28.130000, 84.82), Kasigau, Krauja and Swara (28.120000, 84.76) village development committee has not been known to lots of people. ",https://www.facebook.com/hari.dhital.921/posts/10152659297982030
27-Apr,facebook,HR/Sitrep3,western,gorkha,aarbang,NA,observation,damage,devastation that has gone unnoticed,"Gorkha Region (Northern area) (Coordinates: 28.000000, 84.633333)  Translation from post in Nepali: the northern area in Gorkha needs medical help for injured. According to the person, the devastation at Aarbang, Thumi (28.130000, 84.82), Kasigau, Krauja and Swara (28.120000, 84.76) village development committee has not been known to lots of people. ",https://www.facebook.com/hari.dhital.921/posts/10152659297982030
27-Apr,facebook,HR/Sitrep3,western,gorkha,kasigau,NA,observation,damage,devastation that has gone unnoticed,"Gorkha Region (Northern area) (Coordinates: 28.000000, 84.633333)  Translation from post in Nepali: the northern area in Gorkha needs medical help for injured. According to the person, the devastation at Aarbang, Thumi (28.130000, 84.82), Kasigau, Krauja and Swara (28.120000, 84.76) village development committee has not been known to lots of people. ",https://www.facebook.com/hari.dhital.921/posts/10152659297982030
27-Apr,facebook,HR/Sitrep3,western,gorkha,krauja,NA,observation,damage,devastation that has gone unnoticed,"Gorkha Region (Northern area) (Coordinates: 28.000000, 84.633333)  Translation from post in Nepali: the northern area in Gorkha needs medical help for injured. According to the person, the devastation at Aarbang, Thumi (28.130000, 84.82), Kasigau, Krauja and Swara (28.120000, 84.76) village development committee has not been known to lots of people. ",https://www.facebook.com/hari.dhital.921/posts/10152659297982030
27-Apr,facebook,HR/Sitrep3,western,gorkha,swara,NA,observation,damage,devastation that has gone unnoticed,"Gorkha Region (Northern area) (Coordinates: 28.000000, 84.633333)  Translation from post in Nepali: the northern area in Gorkha needs medical help for injured. According to the person, the devastation at Aarbang, Thumi (28.130000, 84.82), Kasigau, Krauja and Swara (28.120000, 84.76) village development committee has not been known to lots of people. ",https://www.facebook.com/hari.dhital.921/posts/10152659297982030
27-Apr,twitter,HR/Sitrep3,central,bhaktapur,NA,B&B hospital,observation,medical,hospital overcrowded,"STcom: #Nepal earthquake: B&B Hospital in Bhaktapur is overcrowded; many lying outdoors, says ST bureau chief Nirm…",https://twitter.com/STERLINGMHOLMES/status/592573489401434113
27-Apr,twitter,HR/Sitrep3,central,kathmandu,NA,hospitals,need,medical,B+ blood and A+/O+ running low,"Kathmandu hospitals struggling after #Nepal #earthquake #AA @anadoluagency http://u.aa.com.tr/499893 We have no quantity of B+, and A+ and O+ are running low",https://twitter.com/EsraKirecci/status/592579323510530048
27-Apr,facebook,HR/Sitrep3,central,kathmandu,NA,tribhuvan university teaching hospital,need,medical,trauma care teams and equipment,"Kathmandu - At Tribhuvan University Teaching Hospital (27.680790,85.283760) and Bir Hospital (27.706301,85.316597) and other government hospitals, trauma care team with basic trauma care supplies and orthopedic equipment and implants (external fixators, k wires etc) are required in great numbers to contain the present condition. They need facilities for mobile operating theaters.",https://www.facebook.com/BECOMING.MAX/posts/10155490491555635?pnref=story
27-Apr,facebook,HR/Sitrep3,central,kathmandu,NA,tribhuvan university teaching hospital,need,medical,facilities for mobile operating theaters,"Kathmandu - At Tribhuvan University Teaching Hospital (27.680790,85.283760) and Bir Hospital (27.706301,85.316597) and other government hospitals, trauma care team with basic trauma care supplies and orthopedic equipment and implants (external fixators, k wires etc) are required in great numbers to contain the present condition. They need facilities for mobile operating theaters.",https://www.facebook.com/BECOMING.MAX/posts/10155490491555635?pnref=story
27-Apr,facebook,HR/Sitrep3,central,kathmandu,NA,bir hospital,need,medical,trauma care teams and equipment,"Kathmandu - At Tribhuvan University Teaching Hospital (27.680790,85.283760) and Bir Hospital (27.706301,85.316597) and other government hospitals, trauma care team with basic trauma care supplies and orthopedic equipment and implants (external fixators, k wires etc) are required in great numbers to contain the present condition. They need facilities for mobile operating theaters.",https://www.facebook.com/BECOMING.MAX/posts/10155490491555635?pnref=story
27-Apr,facebook,HR/Sitrep3,central,kathmandu,NA,bir hospital,need,medical,facilities for mobile operating theaters,"Kathmandu - At Tribhuvan University Teaching Hospital (27.680790,85.283760) and Bir Hospital (27.706301,85.316597) and other government hospitals, trauma care team with basic trauma care supplies and orthopedic equipment and implants (external fixators, k wires etc) are required in great numbers to contain the present condition. They need facilities for mobile operating theaters.",https://www.facebook.com/BECOMING.MAX/posts/10155490491555635?pnref=story
27-Apr,twitter,HR/Sitrep3,NA,NA,NA,NA,need,medical,supplies and staff needed,"Doctors responding asking for supplies (medicines for chronic conditions like diabetes and hypertension, IV fluids, IV antibiotics, first aid material, splints, casts, gloves, scalpels, bandages, dressing pads, Xylocaine/Lidocaine) and staff (orthopaedic surgeons, cardiothoracic surgeons, trauma specialists, nurses, psychologists/counselors) (",https://twitter.com/AnantBhan/status/592564613352304640/photo/1
27-Apr,facebook,HR/Sitrep3,central,kathmandu,NA,saleways supermarket,need,general assessment,asking for various donations,"Unofficial collection in parking lot of Saleways Supermarket across from US Embassy (?????????? ??? 44600; coordinates: 27.737698, 85.334061) Tuesday April 28 from 10am - 2 pm. Asking for: first aid kits, food (rice, daal, biscuits, noodles, dry nuts, salt, oil for cooking, and kerosene), solar lamps, water purifying tablets, chorine, tents/plastic sheeting, sleeping bags/blankets, gloves, makes and other sanitary hygiene products",https://www.facebook.com/anne.dekyi/posts/10100959857943855?fref=nf
27-Apr,twitter,HR/Sitrep4,western,gorkha,ghyachock,NA,observation,general assessment,no aid has received this community,"Reports that no relief has yet reached the following villages, all VDCs 20k away from epicenter",https://twitter.com/uttambabu/status/592862042391969792
27-Apr,twitter,HR/Sitrep4,western,gorkha,warpak,NA,observation,general assessment,no aid has received this community,"Reports that no relief has yet reached the following villages, all VDCs 20k away from epicenter",https://twitter.com/uttambabu/status/592862042391969792
27-Apr,twitter,HR/Sitrep4,western,gorkha,gumda,NA,observation,general assessment,no aid has received this community,"Reports that no relief has yet reached the following villages, all VDCs 20k away from epicenter",https://twitter.com/uttambabu/status/592862042391969792
