date,type,source,author,region,district,location1,location2,type,label,description,text
42121,crowdsourced,twitter,HR/Sitrep3,central,dhading,NA,NA,observation,general assessment,communities not reached for 60 hours,"Dadhing-1 - @brb_laaldhwoj hernus 1 patak 1 no chhetra dhading 60 ghanta bo janata vokae khulla chaur ma baseko plz help help help dhading... Translation: ""Pay attention to us for once, its been 60 hours, people are hungry sitting in the open field. Please Help"""
42121,crowdsourced,twitter,HR/Sitrep3,central,dolakha,upper tamakoshi hydro electrical project,NA,observation,search&rescue,25 people trapped alive,25 people trapped in Upper Tamakoshi Hydro Electrical project Nepal Alive. 200 kms from Kathmandu Contact 09779844309933 Amit. (
42121,crowdsourced,twitter,HR/Sitrep3,western,gorkha,NA,NA,need,shelter,unidentified village needs blankets and tents,"A village needs tents, blankets and supplies. Contact 9851194247 for more info."
42121,crowdsourced,online community,HR/Sitrep3,western,gorkha,barpak,NA,observation,damage,village mostly destroyed,"Barpak and Laprak Villages (coordinates: 28.200951,84.746758 and 28.216709,84.800980) Mostly destroyed, near the epicenter, with photos showing damage. Barpak already reached by heli, with 87 wounded evacuated."
42121,crowdsourced,facebook,HR/Sitrep3,western,gorkha,laprak,NA,observation,damage,village mostly destroyed,"Laprak (coordinates: 28.216709,84.800980) - People in Laprak need help and no efforts have been made to reach out in this area."
42121,crowdsourced,facebook,HR/Sitrep3,western,gorkha,laprak,NA,need,general assessment,people need help; no effort to reach this area,"Laprak (coordinates: 28.216709,84.800980) - People in Laprak need help and no efforts have been made to reach out in this area."
42121,crowdsourced,twitter,HR/Sitrep3,western,gorkha,NA,NA,need,search&rescue,World Vision needs s&r assistance,"World Vision Asia-Pacific staff in need of: search and rescue, food, blankets, medicatl treatment, clearing blocked roads."
42121,crowdsourced,twitter,HR/Sitrep3,western,gorkha,NA,NA,need,nutrition,World Vision needs nutrition assistance,"World Vision Asia-Pacific staff in need of: search and rescue, food, blankets, medicatl treatment, clearing blocked roads."
42121,crowdsourced,twitter,HR/Sitrep3,western,gorkha,NA,NA,need,shelter,World Vision needs shelter assistance,"World Vision Asia-Pacific staff in need of: search and rescue, food, blankets, medicatl treatment, clearing blocked roads."
42121,crowdsourced,twitter,HR/Sitrep3,western,gorkha,NA,NA,need,medical,World Vision needs medical assistance,"World Vision Asia-Pacific staff in need of: search and rescue, food, blankets, medicatl treatment, clearing blocked roads."
42121,crowdsourced,twitter,HR/Sitrep3,western,gorkha,NA,NA,need,transport,World Vision needs transport assistance,"World Vision Asia-Pacific staff in need of: search and rescue, food, blankets, medicatl treatment, clearing blocked roads."
42121,crowdsourced,online community,HR/Sitrep3,western,gorkha,saurpani,NA,observation,casualties,more than 20 deaths,"Saurpani (coordinates: 28.130171,84.705971) - Death toll in Saurpan, Gorkha #NepalQuake rises to more than 20 : rescue team can not reach there because of landslide and heavy rain."
42121,crowdsourced,online community,HR/Sitrep3,western,gorkha,saurpani,NA,observation,transport,transport impossible because of landslides/rain,"Saurpani (coordinates: 28.130171,84.705971) - Death toll in Saurpan, Gorkha #NepalQuake rises to more than 20 : rescue team can not reach there because of landslide and heavy rain."
42121,crowdsourced,twitter,HR/Sitrep3,western,gorkha,NA,NA,observation,search&rescue,200 people trapped; many dying due to blood loss,"Translation from Nepali: ""Provide any help, government support. 200 people in gorkha trapped. many dying due to blood loss."""
42121,crowdsourced,facebook,HR/Sitrep3,central,dolakha,NA,NA,observation,general assessment,area affected,"Dolakha (coordinates: 27.677931,86.078018) Local media reported that it was affected."
42121,crowdsourced,facebook,HR/Sitrep3,central,kavrepalanchok,paunati,NA,observation,general assessment,area affected,"Panauti (coordinates: 27.583333, 85.516667) - Affected"
42121,crowdsourced,facebook,HR/Sitrep3,western,kaski,NA,NA,observation,general assessment,areas between kathmandu and pokhara affected,"Areas between Kathmandu and Pokhara (Pokhara coordinates 28.233700,83.998100) Affected"
42121,crowdsourced,twitter,HR/Sitrep3,central,lalitpur,kusunti,academy school ground,need,nutrition,food needed,"Food/water needed asap for a shelter on an academy school ground in Kusunti (near Ekantakuna) (coordinates: 27.670186, 85.309015)"
42121,crowdsourced,twitter,HR/Sitrep3,central,lalitpur,kusunti,academy school ground,need,sanitation,water needed,"Food/water needed asap for a shelter on an academy school ground in Kusunti (near Ekantakuna) (coordinates: 27.670186, 85.309015)"
42121,crowdsourced,twitter,HR/Sitrep3,central,lalitpur,harrisiddhi,NA,observation,general assessment,has not received any aid,"Harrisiddhi (coordinates: 27.640000, 85.35) has not received any aid yet"
42121,crowdsourced,twitter,HR/Sitrep3,central,lalitpur,imadol,NA,observation,population behavior,aid packages for this town were looted,"Imadol (coordinates: 27.658381,85.344147) has not received aid yet. VDC told them that all the aid packages on vehicles were looted in Patan."
42121,crowdsourced,facebook,HR/Sitrep3,central,rasuwa,langtang,NA,observation,population behavior,ppl flee from village; many badly wounded,"Langtang Village (coordinates: 28.266701,85.616699). My son, Kevin Krogh, is part of an expedition that was traveling in the Langtang Valley at the time of the earthquake. They were above the devastation in Langtang Village at the time of the quake, and are now working to help refugees coming up from that area. Please send aid to this region as soon as possible. The following is direct info from his wife, Kathleen. ""Kat called again to share the names of new people coming to the camp. Avalanches have buried Langtang Village, and survivors are starting to come up the mountain to Kyanjin Gompa. Many are badly wounded. Brigida is a nurse, but she is the only medical person on hand and she is overwhelmed."" (Reply to US Embassy post)"
42121,crowdsourced,facebook,HR/Sitrep3,western,lamjung,dudh pokhari,NA,observation,damage,447 houses destroyed; 67 houses damaged,"Dudh Pokhari (coordinates: 28.236540,84.589828) - Translation from Nepali: In dudhpokhari, 447 houses are destroyed, ward - 9's 67 houses are damaged. but no human casualties. in dudhpokhari, 447 houses are destroyed, ward - 9's 67 houses are damaged. but no human casualties"
42121,crowdsourced,facebook,HR/Sitrep3,western,lamjung,dudh pokhari,NA,observation,casualties,no human casualties,"Dudh Pokhari (coordinates: 28.236540,84.589828) - Translation from Nepali: In dudhpokhari, 447 houses are destroyed, ward - 9's 67 houses are damaged. but no human casualties. in dudhpokhari, 447 houses are destroyed, ward - 9's 67 houses are damaged. but no human casualties"
42121,crowdsourced,twitter,HR/Sitrep3,central,nuwakot,thansing,NA,need,nutrition,people in need of food,"Thansing (27.870000, 85.27) - people are in need of food water and shelter."
42121,crowdsourced,twitter,HR/Sitrep3,central,nuwakot,thansing,NA,need,sanitation,people in need of water,"Thansing (27.870000, 85.27) - people are in need of food water and shelter."
42121,crowdsourced,twitter,HR/Sitrep3,central,nuwakot,thansing,NA,need,shelter,people in need of shelter,"Thansing (27.870000, 85.27) - people are in need of food water and shelter."
42121,crowdsourced,facebook,HR/Sitrep3,central,nuwakot,madanpur,NA,need,shelter,tents needed,"Madanpur (coordinates: 27.856489,85.187210) - Tents are needed in the Madanpur"
42121,crowdsourced,twitter,HR/Sitrep3,central,rasuwa,rasuwagadi,hydropower tunnel,observation,casualties,159 workers trapped (help underway),"Translation from Nepali: 159 works trapped in a tunnel in Rasuwagadi hydropower, But a helicopter has been sent."
42121,crowdsourced,twitter,HR/Sitrep3,central,rasuwa,dhunche,NA,need,general assessment,500 people in need of help,"Dhunche (coordinates: 28.116667, 85.283333) - 500 people are in need of help in Dhunche, 50 KM from Kathmandu (28.1167 N, 85.2833 E) ("
42121,crowdsourced,facebook,HR/Sitrep3,central,sindhupalchok,chautara,NA,observation,casualties,many people in old buildings lost their lives,"Chautara (27.773581,85.716309) - in northern Nepal about 36.5 km away from Kathmandu. Unconfirmed report that many people living in old buildings lost their lives. They need water, electricity, food, and shelter, probably medical help."
42121,crowdsourced,facebook,HR/Sitrep3,central,sindhupalchok,chautara,NA,need,nutrition,food needed,"Chautara (27.773581,85.716309) - in northern Nepal about 36.5 km away from Kathmandu. Unconfirmed report that many people living in old buildings lost their lives. They need water, electricity, food, and shelter, probably medical help."
42121,crowdsourced,facebook,HR/Sitrep3,central,sindhupalchok,chautara,NA,need,sanitation,water needed,"Chautara (27.773581,85.716309) - in northern Nepal about 36.5 km away from Kathmandu. Unconfirmed report that many people living in old buildings lost their lives. They need water, electricity, food, and shelter, probably medical help."
42121,crowdsourced,facebook,HR/Sitrep3,central,sindhupalchok,chautara,NA,need,medical,maybe medical help needed,"Chautara (27.773581,85.716309) - in northern Nepal about 36.5 km away from Kathmandu. Unconfirmed report that many people living in old buildings lost their lives. They need water, electricity, food, and shelter, probably medical help."
42121,crowdsourced,facebook,HR/Sitrep3,central,sindhupalchok,chautara,NA,need,shelter,shelter needed,"Chautara (27.773581,85.716309) - in northern Nepal about 36.5 km away from Kathmandu. Unconfirmed report that many people living in old buildings lost their lives. They need water, electricity, food, and shelter, probably medical help."
42121,crowdsourced,personal contacts/email,HR/Sitrep3,central,sindhupalchok,kodari village,NA,observation,damage,damage,"Kodari village (coordinates: 27.960569,85.956673) - unconfirmed reports of damage and need for food, water, shelter, and maybe medical help. (direct message from previous source)."
42121,crowdsourced,personal contacts/email,HR/Sitrep3,central,sindhupalchok,kodari village,NA,need,nutrition,food needed,"Kodari village (coordinates: 27.960569,85.956673) - unconfirmed reports of damage and need for food, water, shelter, and maybe medical help. (direct message from previous source)."
42121,crowdsourced,personal contacts/email,HR/Sitrep3,central,sindhupalchok,kodari village,NA,need,sanitation,water needed,"Kodari village (coordinates: 27.960569,85.956673) - unconfirmed reports of damage and need for food, water, shelter, and maybe medical help. (direct message from previous source)."
42121,crowdsourced,personal contacts/email,HR/Sitrep3,central,sindhupalchok,kodari village,NA,need,shelter,shelter needed,"Kodari village (coordinates: 27.960569,85.956673) - unconfirmed reports of damage and need for food, water, shelter, and maybe medical help. (direct message from previous source)."
42121,crowdsourced,personal contacts/email,HR/Sitrep3,central,sindhupalchok,kodari village,NA,need,medical,maybe medical help needed,"Kodari village (coordinates: 27.960569,85.956673) - unconfirmed reports of damage and need for food, water, shelter, and maybe medical help. (direct message from previous source)."
42121,crowdsourced,personal contacts/email,HR/Sitrep3,central,sindhupalchok,ratankot,NA,observation,casualties,people dying from hunger,"Ratankot (27.6988, 85.8392) - In Sindhupalchowk, people continue to die due to lack of food. Children are hungry. There is no food to eat or place to live. So, please make blankets and temporary shelters available along with food through rescue teams in the village of Ratankot, Sindhupalchowk. Please contact Shambhu Lama, he's from Ratankot, Sindhupalchowk. His contact number is: 9851001104."
42121,crowdsourced,personal contacts/email,HR/Sitrep3,central,sindhupalchok,ratankot,NA,need,nutrition,food needed,"Ratankot (27.6988, 85.8392) - In Sindhupalchowk, people continue to die due to lack of food. Children are hungry. There is no food to eat or place to live. So, please make blankets and temporary shelters available along with food through rescue teams in the village of Ratankot, Sindhupalchowk. Please contact Shambhu Lama, he's from Ratankot, Sindhupalchowk. His contact number is: 9851001104."
42121,crowdsourced,personal contacts/email,HR/Sitrep3,central,sindhupalchok,ratankot,NA,need,shelter,shelter: blankets and tents,"Ratankot (27.6988, 85.8392) - In Sindhupalchowk, people continue to die due to lack of food. Children are hungry. There is no food to eat or place to live. So, please make blankets and temporary shelters available along with food through rescue teams in the village of Ratankot, Sindhupalchowk. Please contact Shambhu Lama, he's from Ratankot, Sindhupalchowk. His contact number is: 9851001104."
42121,crowdsourced,facebook,HR/Sitrep3,central,sindhupalchok,bhotsipar village,jhulunge gau,observation,damage,more than 150 houses destroyed,"Bhotsipar Village - Urgent help is needed in Sindupalchok District, Bhotsipar Village Development, Ward No 9, Jhulunge Gau. More than 150 Houses has been destroyed. People are injured. They are completely out of food, drinking water and shelter. Please send a rescue team. (FB comment in timeline)"
42121,crowdsourced,facebook,HR/Sitrep3,central,sindhupalchok,bhotsipar village,jhulunge gau,observation,medical,people injured,"Bhotsipar Village - Urgent help is needed in Sindupalchok District, Bhotsipar Village Development, Ward No 9, Jhulunge Gau. More than 150 Houses has been destroyed. People are injured. They are completely out of food, drinking water and shelter. Please send a rescue team. (FB comment in timeline)"
42121,crowdsourced,facebook,HR/Sitrep3,central,sindhupalchok,bhotsipar village,jhulunge gau,need,nutrition,food needed,"Bhotsipar Village - Urgent help is needed in Sindupalchok District, Bhotsipar Village Development, Ward No 9, Jhulunge Gau. More than 150 Houses has been destroyed. People are injured. They are completely out of food, drinking water and shelter. Please send a rescue team. (FB comment in timeline)"
42121,crowdsourced,facebook,HR/Sitrep3,central,sindhupalchok,bhotsipar village,jhulunge gau,need,sanitation,drinking water needed,"Bhotsipar Village - Urgent help is needed in Sindupalchok District, Bhotsipar Village Development, Ward No 9, Jhulunge Gau. More than 150 Houses has been destroyed. People are injured. They are completely out of food, drinking water and shelter. Please send a rescue team. (FB comment in timeline)"
42121,crowdsourced,facebook,HR/Sitrep3,central,sindhupalchok,bhotsipar village,jhulunge gau,need,shelter,shelter needed,"Bhotsipar Village - Urgent help is needed in Sindupalchok District, Bhotsipar Village Development, Ward No 9, Jhulunge Gau. More than 150 Houses has been destroyed. People are injured. They are completely out of food, drinking water and shelter. Please send a rescue team. (FB comment in timeline)"
42121,crowdsourced,personal contacts/email,HR/Sitrep3,eastern,solukhumbu,NA,lukla airport,observation,transport,airport open; flights subject to weather,"Apr27 Lukla Airport (coordinates 27.687778, 86.731389) update - Airport in Lukla is open, but flights are subject to weather. Flights include transport by helicopter and plane. There is a waiting list for injured hikers, non-injured hikers are requested to stand-by until all the injured are removed. There are many people (unconfirmed reports >1000) waiting for flights. A priority has been placed on airlifting injured first. Eye witness reports indicate active flights are only a few each day (unconfirmed)."
42121,crowdsourced,facebook,HR/Sitrep3,western,gorkha,thumi,NA,observation,damage,devastation that has gone unnoticed,"Gorkha Region (Northern area) (Coordinates: 28.000000, 84.633333)  Translation from post in Nepali: the northern area in Gorkha needs medical help for injured. According to the person, the devastation at Aarbang, Thumi (28.130000, 84.82), Kasigau, Krauja and Swara (28.120000, 84.76) village development committee has not been known to lots of people. "
42121,crowdsourced,facebook,HR/Sitrep3,western,gorkha,aarbang,NA,observation,damage,devastation that has gone unnoticed,"Gorkha Region (Northern area) (Coordinates: 28.000000, 84.633333)  Translation from post in Nepali: the northern area in Gorkha needs medical help for injured. According to the person, the devastation at Aarbang, Thumi (28.130000, 84.82), Kasigau, Krauja and Swara (28.120000, 84.76) village development committee has not been known to lots of people. "
42121,crowdsourced,facebook,HR/Sitrep3,western,gorkha,kasigau,NA,observation,damage,devastation that has gone unnoticed,"Gorkha Region (Northern area) (Coordinates: 28.000000, 84.633333)  Translation from post in Nepali: the northern area in Gorkha needs medical help for injured. According to the person, the devastation at Aarbang, Thumi (28.130000, 84.82), Kasigau, Krauja and Swara (28.120000, 84.76) village development committee has not been known to lots of people. "
42121,crowdsourced,facebook,HR/Sitrep3,western,gorkha,krauja,NA,observation,damage,devastation that has gone unnoticed,"Gorkha Region (Northern area) (Coordinates: 28.000000, 84.633333)  Translation from post in Nepali: the northern area in Gorkha needs medical help for injured. According to the person, the devastation at Aarbang, Thumi (28.130000, 84.82), Kasigau, Krauja and Swara (28.120000, 84.76) village development committee has not been known to lots of people. "
42121,crowdsourced,facebook,HR/Sitrep3,western,gorkha,swara,NA,observation,damage,devastation that has gone unnoticed,"Gorkha Region (Northern area) (Coordinates: 28.000000, 84.633333)  Translation from post in Nepali: the northern area in Gorkha needs medical help for injured. According to the person, the devastation at Aarbang, Thumi (28.130000, 84.82), Kasigau, Krauja and Swara (28.120000, 84.76) village development committee has not been known to lots of people. "
42121,crowdsourced,twitter,HR/Sitrep3,central,bhaktapur,NA,B&B hospital,observation,medical,hospital overcrowded,"STcom: #Nepal earthquake: B&B Hospital in Bhaktapur is overcrowded; many lying outdoors, says ST bureau chief Nirm…"
42121,crowdsourced,twitter,HR/Sitrep3,central,kathmandu,NA,hospitals,need,medical,B+ blood and A+/O+ running low,"Kathmandu hospitals struggling after #Nepal #earthquake #AA @anadoluagency http://u.aa.com.tr/499893 We have no quantity of B+, and A+ and O+ are running low"
42121,crowdsourced,facebook,HR/Sitrep3,central,kathmandu,NA,tribhuvan university teaching hospital,need,medical,trauma care teams and equipment,"Kathmandu - At Tribhuvan University Teaching Hospital (27.680790,85.283760) and Bir Hospital (27.706301,85.316597) and other government hospitals, trauma care team with basic trauma care supplies and orthopedic equipment and implants (external fixators, k wires etc) are required in great numbers to contain the present condition. They need facilities for mobile operating theaters."
42121,crowdsourced,facebook,HR/Sitrep3,central,kathmandu,NA,tribhuvan university teaching hospital,need,medical,facilities for mobile operating theaters,"Kathmandu - At Tribhuvan University Teaching Hospital (27.680790,85.283760) and Bir Hospital (27.706301,85.316597) and other government hospitals, trauma care team with basic trauma care supplies and orthopedic equipment and implants (external fixators, k wires etc) are required in great numbers to contain the present condition. They need facilities for mobile operating theaters."
42121,crowdsourced,facebook,HR/Sitrep3,central,kathmandu,NA,bir hospital,need,medical,trauma care teams and equipment,"Kathmandu - At Tribhuvan University Teaching Hospital (27.680790,85.283760) and Bir Hospital (27.706301,85.316597) and other government hospitals, trauma care team with basic trauma care supplies and orthopedic equipment and implants (external fixators, k wires etc) are required in great numbers to contain the present condition. They need facilities for mobile operating theaters."
42121,crowdsourced,facebook,HR/Sitrep3,central,kathmandu,NA,bir hospital,need,medical,facilities for mobile operating theaters,"Kathmandu - At Tribhuvan University Teaching Hospital (27.680790,85.283760) and Bir Hospital (27.706301,85.316597) and other government hospitals, trauma care team with basic trauma care supplies and orthopedic equipment and implants (external fixators, k wires etc) are required in great numbers to contain the present condition. They need facilities for mobile operating theaters."
42121,crowdsourced,twitter,HR/Sitrep3,NA,NA,NA,NA,need,medical,supplies and staff needed,"Doctors responding asking for supplies (medicines for chronic conditions like diabetes and hypertension, IV fluids, IV antibiotics, first aid material, splints, casts, gloves, scalpels, bandages, dressing pads, Xylocaine/Lidocaine) and staff (orthopaedic surgeons, cardiothoracic surgeons, trauma specialists, nurses, psychologists/counselors) ("
42121,crowdsourced,facebook,HR/Sitrep3,central,kathmandu,NA,saleways supermarket,need,general assessment,asking for various donations,"Unofficial collection in parking lot of Saleways Supermarket across from US Embassy (?????????? ??? 44600; coordinates: 27.737698, 85.334061) Tuesday April 28 from 10am - 2 pm. Asking for: first aid kits, food (rice, daal, biscuits, noodles, dry nuts, salt, oil for cooking, and kerosene), solar lamps, water purifying tablets, chorine, tents/plastic sheeting, sleeping bags/blankets, gloves, makes and other sanitary hygiene products"
42121,crowdsourced,twitter,HR/Sitrep4,western,gorkha,ghyachock,NA,observation,general assessment,no aid has received this community,"Reports that no relief has yet reached the following villages, all VDCs 20k away from epicenter"
42121,crowdsourced,twitter,HR/Sitrep4,western,gorkha,warpak,NA,observation,general assessment,no aid has received this community,"Reports that no relief has yet reached the following villages, all VDCs 20k away from epicenter"
42121,crowdsourced,twitter,HR/Sitrep4,western,gorkha,gumda,NA,observation,general assessment,no aid has received this community,"Reports that no relief has yet reached the following villages, all VDCs 20k away from epicenter"
42121,crowdsourced,twitter,HR/Sitrep4,western,gorkha,uhya,NA,observation,general assessment,no aid has received this community,"Reports that no relief has yet reached the following villages, all VDCs 20k away from epicenter"
42121,crowdsourced,twitter,HR/Sitrep4,western,gorkha,sirdibas,NA,observation,general assessment,no aid has received this community,"Reports that no relief has yet reached the following villages, all VDCs 20k away from epicenter"
42121,crowdsourced,twitter,HR/Sitrep4,western,gorkha,saurpani,NA,observation,casualties,hundreds feared dead,"Saurpani, a village of 5,000-6,000 inhabitants. Hundreds feared dead and reports suggest rescue teams have yet to reach here"
42121,crowdsourced,twitter,HR/Sitrep4,western,gorkha,saurpani,NA,observation,search&rescue,rescue teams yet to reach village,"Saurpani, a village of 5,000-6,000 inhabitants. Hundreds feared dead and reports suggest rescue teams have yet to reach here"
42121,crowdsourced,twitter,HR/Sitrep4,central,kavrepalanchok,bhandari gauri,NA,observation,casualties,hundreds feared dead,"Bhandari Gaun (27.576926, 85.529450), part of larger village area of 6,000 inhabitants. Hundreds feared dead, reports suggest rescue team have yet to reach here"
42121,crowdsourced,twitter,HR/Sitrep4,central,rasuwa,kyanjin gompa,NA,observation,general assessment,300 people stranded,"300 people stranded in Kyanjin Gompa coordinates: (28.213737, 85.526021), in need of food"
42121,crowdsourced,twitter,HR/Sitrep4,central,rasuwa,kyanjin gompa,NA,need,nutrition,300 people in need of food,"300 people stranded in Kyanjin Gompa coordinates: (28.213737, 85.526021), in need of food"
42121,crowdsourced,twitter,HR/Sitrep4,central,nuwakot,trishuli city,NA,observation,damage,95% of homes destroyed,Trishuli City - 95% of homes have been destroyed
42121,crowdsourced,twitter,HR/Sitrep4,central,bhaktapur,liwali,NA,need,medical,couple in need of urgent medical aid,"Couple in need of urgent medical aid - Liwali (coordinates: 27.670963, 85.439169), behind Surya Binayak. Phone number: 9841791480"
42121,crowdsourced,twitter,HR/Sitrep4,central,kathmandu,NA,NA,need,medical,doctors for MSF,Doctors still desperately needed. Requested to sign-up @MSF_India
42121,crowdsourced,twitter,HR/Sitrep4,NA,NA,NA,NA,need,medical,hemodialysis machines,Hemodialysis machines
42122,crowdsourced,twitter,HR/Sitrep4,NA,NA,NA,NA,observation,search&rescue,drones available for s&r,Drones available for search and rescue. They're on standby. Contact Tony Whelan +9779818753594 or at Dwarika's- 977-1-4479488.
42122,crowdsourced,facebook,HR/Sitrep4,central,bhaktapur,NA,NA,observation,casualties,people trapped under rubble,"People still trapped under rubble (source: Shashank Shresta & translator’s friends & family). People need food, water and tents & rescue teams"
42122,crowdsourced,twitter,HR/Sitrep4,central,dhading,NA,NA,need,nutrition,food needed,"Dhading needs urgent help. No food, shelter, tent, clothes for survivors."
42122,crowdsourced,twitter,HR/Sitrep4,central,dhading,NA,NA,need,shelter,shelter needed,"Dhading needs urgent help. No food, shelter, tent, clothes for survivors."
42122,crowdsourced,twitter,HR/Sitrep4,central,dhading,NA,NA,need,general assessment,clothes for survivors,"Dhading needs urgent help. No food, shelter, tent, clothes for survivors."
42122,crowdsourced,twitter,HR/Sitrep4,central,kathmandu,sankhu,NA,observation,general assessment,needs support; odor spreading,"Sankhu (coordinates: 27.716667, 85.45) - heritage town in NW KTM Valley, nearly flattened. Needs support. Odor is spreading. ("
42122,crowdsourced,twitter,HR/Sitrep4,central,kavrepalanchok,nala,NA,need,general assessment,general response needed,"Need immediate response Kavre district (Nala, Deupur, Paanchkhal and Mandan)"
42122,crowdsourced,twitter,HR/Sitrep4,central,kavrepalanchok,deupur,NA,need,general assessment,general response needed,"Need immediate response Kavre district (Nala, Deupur, Paanchkhal and Mandan)"
42122,crowdsourced,twitter,HR/Sitrep4,central,kavrepalanchok,paanchkhal,NA,need,general assessment,general response needed,"Need immediate response Kavre district (Nala, Deupur, Paanchkhal and Mandan)"
42122,crowdsourced,twitter,HR/Sitrep4,central,kavrepalanchok,mandan,NA,need,general assessment,general response needed,"Need immediate response Kavre district (Nala, Deupur, Paanchkhal and Mandan)"
42122,crowdsourced,twitter,HR/Sitrep4,central,kavrepalanchok,paunati,NA,need,general assessment,general help; clothes,"Families in Panauti 3, Kavre urgently need food, clothes, help. (Cont: Bidur 9808663986 / 9841430841)"
42122,crowdsourced,twitter,HR/Sitrep4,central,kavrepalanchok,paunati,NA,need,nutrition,food needed,"Families in Panauti 3, Kavre urgently need food, clothes, help. (Cont: Bidur 9808663986 / 9841430841)"
42122,crowdsourced,facebook,HR/Sitrep4,central,lalitpur,harisddhi area,NA,observation,general assessment,situation really bad,"Our team of 8 visited camps in Harisiddhi area, situation there is really bad. Most of the camps are in need of immediate medical attention. Due to the poor hygiene, small kids are facing skin diseases. One of the kids from the camp who is just 1 year old is severely sick and his face is covered with rashes and mosquito bites. We rushed him and his mother to near by health post with the help of locals but we couldn't get support because there were no doctors."
42122,crowdsourced,facebook,HR/Sitrep4,central,lalitpur,harisddhi area,NA,need,medical,medical attention needed; no doctors available,"Our team of 8 visited camps in Harisiddhi area, situation there is really bad. Most of the camps are in need of immediate medical attention. Due to the poor hygiene, small kids are facing skin diseases. One of the kids from the camp who is just 1 year old is severely sick and his face is covered with rashes and mosquito bites. We rushed him and his mother to near by health post with the help of locals but we couldn't get support because there were no doctors."
42122,crowdsourced,facebook,HR/Sitrep4,central,lalitpur,harisddhi area,NA,observation,medical,children face skin diseases,"Our team of 8 visited camps in Harisiddhi area, situation there is really bad. Most of the camps are in need of immediate medical attention. Due to the poor hygiene, small kids are facing skin diseases. One of the kids from the camp who is just 1 year old is severely sick and his face is covered with rashes and mosquito bites. We rushed him and his mother to near by health post with the help of locals but we couldn't get support because there were no doctors."
42122,crowdsourced,facebook,HR/Sitrep4,central,rasuwa,NA,NA,need,nutrition,food needed ,"Group of people - unknown number - need food, water & rescue"
42122,crowdsourced,facebook,HR/Sitrep4,central,rasuwa,NA,NA,need,sanitation,water needed,"Group of people - unknown number - need food, water & rescue"
42122,crowdsourced,facebook,HR/Sitrep4,central,rasuwa,NA,NA,need,search&rescue,rescue needed,"Group of people - unknown number - need food, water & rescue"
42122,crowdsourced,twitter,HR/Sitrep4,central,nuwakot,kalyanpur ward no 6,NA,need,nutrition,food needed,"Nuwakot, Kalyanpur ward no 6 needs food. Contact Sujan Tamang 9813383384"
42122,crowdsourced,personal contacts/email,HR/Sitrep4,central,sindhupalchok,NA,NA,observation,casualties,police officers killed as their office collapsed,"Police persons were killed as their office collapsed in the quake. Due to the collapse of the police office and disruption of communications, it has been very difficult to collect data on deaths and damages, said Krishna Gyawali, Chief District Officer from Sindhupalchowk (via email)"
42122,crowdsourced,personal contacts/email,HR/Sitrep4,central,sindhupalchok,NA,NA,observation,casualties,difficult to collect data on deaths/damages,"Police persons were killed as their office collapsed in the quake. Due to the collapse of the police office and disruption of communications, it has been very difficult to collect data on deaths and damages, said Krishna Gyawali, Chief District Officer from Sindhupalchowk (via email)"
42122,crowdsourced,twitter,HR/Sitrep4,central,kathmandu,NA,hospitals,observation,medical,number of injured is decreasing,"Reports of the number of injured is gradually decreasing in Kathmandu hospitals, however relief and tents are still needed for villages"
42122,crowdsourced,twitter,HR/Sitrep4,central,kathmandu,NA,hospitals,need,general assessment,general relief needed for villages,"Reports of the number of injured is gradually decreasing in Kathmandu hospitals, however relief and tents are still needed for villages"
42122,crowdsourced,twitter,HR/Sitrep4,central,kathmandu,NA,hospitals,need,shelter,tents needed for villages,"Reports of the number of injured is gradually decreasing in Kathmandu hospitals, however relief and tents are still needed for villages"
42122,crowdsourced,personal contacts/email,HR/Sitrep4,central,kathmandu,kokhana village,,observation,medical,many suffer from diarrhea,"With the lack of safe drinking water after the April 25 earthquake, people in Khokana village, the southern outskirt of the Kathmandu Valley, have begun suffering from diarrhea. Although the villagers initially received treatment at local health posts, the number of the sufferers increased. One report states that more than 100 diarrhoea patients have been provided treatment at a health camps run by a joint team of Nepal Army and the Bangladesh Army. (Trusted source via email)"
42122,crowdsourced,facebook,HR/Sitrep4,central,bhaktapur,NA,siddhi memorial hospital,need,medical,emergency drugs; gloves; antibiotics,"Siddhi Memorial hospital, (coordinates:27.668368, 85.43256) needs emergency drugs, gloves, ORS and antibiotics, detailed list will be published here"
42122,crowdsourced,twitter,HR/Sitrep4,central,bhaktapur,NA,B&B hospital,observation,medical,hospital overcrowded; people lying outdoors,B&B Hospital in Bhaktapur is overcrowded; many lying outdoors.
42122,crowdsourced,twitter,HR/Sitrep4,central,dhading,NA,NA,need,medical,two orthopedic surgeons; two ER doctors and two OR nurses for 2-3 weeks,"One Heart World-Wide medical camp is looking for two orthopedic surgeons, two ER doctors and two OR nurses to go to Nepal immediately for 2-3 weeks for a medical camp in Dhading."
42122,crowdsourced,twitter,HR/Sitrep4,central,kathmandu,NA,NA,need,medical,phenyl and hospital masks,"Sankhu town (coordinates: 27.512508,85.329129) needs phenyl and hospital masks"
42122,crowdsourced,twitter,HR/Sitrep4,central,kathmandu,NA,dhulikhel hospital,need,medical,tents; blankets; medical supplies; mattresses,"Dhulikhel Hospital - Tents, blankets, medical supplies and mattresses needed"
