date,source,author,region,district,location1,location2,type,label,description,text
28-Apr,NA,UN/Sitrep5,central,kathmandu,NA,NA,observation,population behavior,people move to family in non-affected areas,"""many people are leaving Kathmandu Valley and returning to families in areas, which have not been affected by the earthquake."""
28-Apr,NA,UN/Sitrep5,central,kathmandu,NA,kathmandu airport,observation,transport,serves as main logistics hub,"""The Kathmandu International Airport is open 24 hours and serves as the main logistics hub."""
28-Apr,NA,UN/Sitrep5,central,kathmandu,NA,kathmandu airport,observation,transport,airport is congested due to large outflow (foreigners) and inflow (aid),"""However, due to incoming goods and response teams, as well as departing people, including many foreigners, the Airport is congested."""
28-Apr,NA,UN/Sitrep5,central,kathmandu,NA,NA,need,shelter,shelter and sanitation,"""Shelter, WASH and protection mechanisms in the 16 camps have not yet been established or are not functioning at optimum capacity due to the Urban Search and Rescue (USAR) phase."""
28-Apr,NA,UN/Sitrep5,central,kathmandu,NA,kathmandu airport,observation,transport,airport remains congested,"""Due to incoming goods and response teams, as well as outgoing foreigners, the Tribhuvan International Airport remains congested."""
28-Apr,NA,UN/Sitrep5,central,kathmandu,NA,kathmandu airport,need,transport,jet fuel,"""There are concerns regarding the limited availability of jet fuel at the airport."""
28-Apr,NA,UN/Sitrep5,central,kathmandu,NA,camps,need,sanitation,chlorination materials,"""The water quality provided by the private tankers do not meet the safe drinking water standards and the distribution of chlorination materials is urgently needed in the 16 Kathmandu camps where water from private tankers are being distributed."""
29-Apr,NA,UN/Sitrep6,central,kathmandu,NA,NA,observation,casualties,"1,039 deaths","""(1,039 deaths in Kathmandu, 250 in Bhaktapur and 159 in Lalitpur districts)"""
29-Apr,NA,UN/Sitrep6,central,kathmandu,NA,NA,observation,general assessment,(inter)national relief efforts now in nine districts,"""National and international rescue and relief efforts have expanded to nine districts"""
29-Apr,NA,UN/Sitrep6,central,kathmandu,NA,camps,observation,general assessment,"75,000 people estimated in 16 camps","""To effectively target support, the number of internally displaced persons (75,000 people are estimated for Kathmandu Valley) needs to be consolidated"""
29-Apr,NA,UN/Sitrep6,central,kathmandu,NA,camps,observation,general assessment,concerns of overcrowding,"""Within these sites, there are concerns of overcrowding"""
29-Apr,NA,UN/Sitrep6,central,kathmandu,NA,NA,need,nutrition,identified for immediate food assistance,"""Twelve districts have been identified for immediate food assistance"""
29-Apr,NA,UN/Sitrep6,central,kathmandu,NA,NA,need,medical,"priority district for health intervention. Medical tents, medicines","""are the 11 priority districts for health intervention where medical tents with 50 bed capacity, essential medicine, and services in camps are urgently needed."""
29-Apr,NA,UN/Sitrep6,central,kathmandu,NA,camps,need,medical,health services lacking,"""Adequate health services are lacking in the camps and more work needs to be done in coordination with the WASH cluster"""
29-Apr,NA,UN/Sitrep6,central,kathmandu,NA,kathmandu airport,need,transport,need to remove cargo to prevent congestion,"""Organisations have been requested to remove humanitarian relief cargo from the Kathmandu Airport apron as soon as possible due to subsequent congestion in the parking area."""
29-Apr,NA,UN/Sitrep6,central,kathmandu,NA,NA,observation,general assessment,identified as district generally most in need (on priority list),"""The most affected districts are being reported to be """
30-Apr,government,UN/Sitrep7,central,kathmandu,NA,NA,observation,damage,district with the highest number of destroyed houses,"""The districts with the highest numer of damaged houses are Nuwakot, Dhading, Kathmandu and Lalitpur."""
30-Apr,government,UN/Sitrep7,central,kathmandu,NA,NA,observation,casualties,highest number of deaths confirmed,"""The highest number of confirmed deaths has been recorded in S, K and N."""
30-Apr,NA,UN/Sitrep7,central,kathmandu,NA,camps,observation,shelter,"24,000 people in 13 camps","""Based on cluster assessments, some 24,000 internally displaced people (IDPs) are currently hosted in 13 camps in Kathmandu."""
30-Apr,NA,UN/Sitrep7,central,kathmandu,NA,camps,need,sanitation,water,"""Water, latrines, emergency shelter and camp management support is identified as a priority in camps."""
30-Apr,NA,UN/Sitrep7,central,kathmandu,NA,camps,need,sanitation,latrines,"""Water, latrines, emergency shelter and camp management support is identified as a priority in camps."""
30-Apr,NA,UN/Sitrep7,central,kathmandu,NA,camps,need,shelter,emergency shelter (tents),"""Water, latrines, emergency shelter and camp management support is identified as a priority in camps."""
30-Apr,NA,UN/Sitrep7,central,kathmandu,halchowk camp,NA,need,communication,management,"""Water, latrines, emergency shelter and camp management support is identified as a priority in camps."""
30-Apr,NA,UN/Sitrep7,central,kathmandu,NA,sinamangal golf course camp,need,communication,management,"""Water, latrines, emergency shelter and camp management support is identified as a priority in camps."""
30-Apr,NA,UN/Sitrep7,central,kathmandu,durbar square camp,NA,need,communication,management,"""Water, latrines, emergency shelter and camp management support is identified as a priority in camps."""
30-Apr,NA,UN/Sitrep7,central,kathmandu,NA,NA,need,medical,need critical health services,"""Eleven districts need critical health services."""
30-Apr,NA,UN/Sitrep7,central,kathmandu,NA,NA,need,medical,hospitals have run out of medicines,"""Hospitals near Kathmandu have reportedly run out of medicines."""
30-Apr,NA,UN/Sitrep7,central,kathmandu,NA,camps,need,medical,immunization for measles,"""There is a need to initiate immunization for measles, particularly in the 16 Katmandu camps."""
30-Apr,NA,UN/Sitrep7,central,kathmandu,NA,NA,need,children,25 child friendly spaces,"""According to the Department of Women and Children, gaps in the most affected districts include at least 50,000 dignity kits (essential items such as hygiene goods and cloths for women); at least 55,000 baby kits (cloths, diapers, baby food); 25 Child Friendly Spaces (CFS) in the Kathmandu Valley and 10 per district outside the Valley; and at least 165,000 sets of children's clothes."""
30-Apr,NA,UN/Sitrep7,central,kathmandu,NA,halchowk camp,need,sanitation,water supply,"""There is insufficient water supply in Halchowk camp in Kathmandu."""
01-May,NA,UN/Sitrep8,central,kathmandu,sankhu,shankarpur municipality,observation,damage,high level of destruction,"""Assessments in Shankarpur municipality in Sankhu revealed a high level of destruction with internally displaced people (IDPs) scattered around the town and sharing communal tents with up to 100 people per tent."""
01-May,NA,UN/Sitrep8,central,kathmandu,NA,camps,observation,population behavior,sexual/gender-based violence observed,"""Sexual and gender-based violence cases in the Kathmandu camps have been received by the Central Child Welfare Board."""
02-May,food security cluster,UN/Sitrep9,central,kathmandu,sankhu,NA,observation,population behavior,relief trucks have been stopped,"""According to the Food Security Cluster, relief trucks have been stopped and diverted by communities in Dhading District and Sankhu Village Development Committee (VDC) in Kathmandu District."""
02-May,NA,UN/Sitrep9,central,kathmandu,sankhu,NA,observation,population behavior,trucks carrying food were diverted,"""Two trucks carrying food were reportedly diverted in Dhading and Sankhu."""
02-May,NA,UN/Sitrep9,central,kathmandu,NA,airport,observation,transport,difficult to obtain landing permits,"""Obtaining landing permits at the Kathmandu Airport is a challenge with the increasing number of humanitarian charter flights."""
04-May,displacement tracking matrix,UN/Sitrep10,central,kathmandu,NA,camps,observation,shelter,"58 camps hosting 37,500 people open","""According to the Displacement Tracking Matrix (DTM), 58 camps hosting some 37,500 internally displaced people (IDPs) remain open in the Kathmandu Valley."""
04-May,NA,UN/Sitrep10,central,kathmandu,NA,NA,observation,children,reports of unaccompanied/separated children,"""Reports of unaccompanied and separated children in Kathmandu and other the districts have been received."""
06-May,NA,UN/Sitrep11,central,kathmandu,NA,camps,observation,shelter,"37,500 people in 103 camps of which 58 open-air","""In Kathmandu Valley, the Camp Coordination and Camp Management (CCCM) Cluster assessed 103 sites, of which 58 open air sites remain and host some 37,500 internally displaced persons (IDPs)."""
06-May,NA,UN/Sitrep11,central,kathmandu,NA,camps,observation,shelter,distribution of services uneven,"""Provision of services in the sites is said to be uneven and primarily community-led."""
08-May,NA,UN/Sitrep12,central,kathmandu,NA,camps,observation,population behavior,sexual harrassment,"""Incidents of sexual violence in displacement camps were reported."""
11-May,NA,UN/Sitrep13,central,kathmandu,NA,camps,observation,shelter,"now 140 camp sites with 41,890 people - only 9% have camp management","""Of the 140 camp sites (hosting some 41,890 people) in Kathmandu Valley only nine per cent have some type of camp management, 48 per cent are overcrowded and 91 per cent do not have segregated toilets according to the Displacement Tracking Matrix (DTM)."""
11-May,NA,UN/Sitrep13,central,kathmandu,NA,camps,observation,shelter,48% of camps are overcrowded,"""Of the 140 camp sites (hosting some 41,890 people) in Kathmandu Valley only nine per cent have some type of camp management, 48 per cent are overcrowded and 91 per cent do not have segregated toilets according to the Displacement Tracking Matrix (DTM)."""
11-May,NA,UN/Sitrep13,central,kathmandu,NA,camps,observation,shelter,91% do not have segregated toilets,"""Of the 140 camp sites (hosting some 41,890 people) in Kathmandu Valley only nine per cent have some type of camp management, 48 per cent are overcrowded and 91 per cent do not have segregated toilets according to the Displacement Tracking Matrix (DTM)."""
13-May,government,UN/Sitrep14,central,kathmandu,NA,NA,observation,general assessment,district affected by new earthquake,"""According to the Government, a total of 32 districts were affected including those still recovering from the 25 April earthquake such as"""
13-May,NA,UN/Sitrep14,central,kathmandu,tudikhel,evacuation center,observation,shelter,evacuation center with 350 people - 9 pregnant women,"""An evacuation center (Tudikhel) has been established hosting some 86 families (over 350 people), including nine pregnant women."""
13-May,NA,UN/Sitrep14,central,kathmandu,tudikhel,2km from evacuation center,observation,shelter,new evacuation center with 50 people,"""A new site 2km away from the hub is hosting another 50 people."""
13-May,NA,UN/Sitrep14,central,kathmandu,NA,airport,observation,transport,temporarily closed but resumed operations,"""On 12 May, the Kathmandu International Airport was temporarily closed. It resumed operations on the same day"""
13-May,NA,UN/Sitrep14,central,kathmandu,NA,camps,observation,shelter,more people moving to camps after 2nd earthquake,"""Following the 12 May earthquake, assessment of open space camps in Kathmandu indicate that people who are without homes are returning to pre-identified open areas and are setting up makeshift shelters."""
13-May,NA,UN/Sitrep14,central,kathmandu,NA,camps,need,shelter,better camp management,"""In anticipation of additional earthquakes and aftershocks, there is a need to develop a comprehensive plan for camp site management befor the monsoon season based on feedback from the affected people."""
13-May,NA,UN/Sitrep14,central,kathmandu,NA,maternity hospital,observation,medical,300 beds not functional,"""300 beds of the Maternity Hospital and 400 beds of Bir Hospital in Kathmandu are not functional. This limits capacity to treat patients."""
13-May,NA,UN/Sitrep14,central,kathmandu,NA,bir hospital,observation,medical,400 beds not functional,"""300 beds of the Maternity Hospital and 400 beds of Bir Hospital in Kathmandu are not functional. This limits capacity to treat patients."""
13-May,NA,UN/Sitrep14,central,kathmandu,NA,patan hospital,observation,medical,sections of hospital damaged,"""The 12 May earthquake damaged sections of the Patan Hospital (Kathmandu), Sukraraj Tropical Hospital and Bhaktapur Hospital."""
13-May,NA,UN/Sitrep14,central,kathmandu,NA,sukraraj tropical hospital,observation,medical,sections of hospital damaged,"""The 12 May earthquake damaged sections of the Patan Hospital (Kathmandu), Sukraraj Tropical Hospital and Bhaktapur Hospital."""
15-May,NA,UN/Sitrep15,central,kathmandu,NA,NA,observation,transport,landslides have blocked roads,"""In Kathmandu valley, transit sites are emerging in areas where landslides have blocked roads further eroding coping capacities of communities"""
15-May,NA,UN/Sitrep15,central,kathmandu,NA,airport,observation,transport,packing materials left on tarmac pose damage,"""Packing materials left on the tarmac at Kathmandu Airport by organisations or their freight forwarders are posing a serious security risk to air operations."""
03-Jun,NA,UN/Sitrep20,central,kathmandu,NA,NA,observation,medical,poor rehabilitation referral mechanisms from tertiary level hospitals,"""There continues to be weak rehabilitation referral mechanisms from the tertiary level hospitals in Kathmandu Valley."""
03-Jun,NA,UN/Sitrep20,central,kathmandu,NA,NA,need,sanitation,sewer system needs to be assessed,"""An assessment of the sewer system in Kathmandu Valley has not been conducted; the extent of damage remains unknown."""
25-Apr,NA,UN/Sitrep1,central,kavrepalanchok,NA,NA,observation,general assessment,area is affected,"""Among the most affected districts are"""
26-Apr,NA,UN/Sitrep2,central,kavrepalanchok,dhulikhel,dhulikhel hospital,observation,medical,500 injured brought in; half still there,"""500 injured were brought to Dhulikhel hospital alone, of which 50% are still there."""
29-Apr,NA,UN/Sitrep6,central,kavrepalanchok,NA,NA,observation,general assessment,(inter)national relief efforts now in nine districts,"""National and international rescue and relief efforts have expanded to nine districts"""
29-Apr,NA,UN/Sitrep6,central,kavrepalanchok,NA,NA,need,nutrition,identified for immediate food assistance,"""Twelve districts have been identified for immediate food assistance"""
29-Apr,NA,UN/Sitrep6,central,kavrepalanchok,NA,NA,need,medical,"priority district for health intervention. Medical tents, medicines","""are the 11 priority districts for health intervention where medical tents with 50 bed capacity, essential medicine, and services in camps are urgently needed."""
30-Apr,NA,UN/Sitrep7,central,kavrepalanchok,NA,NA,need,medical,need critical health services,"""Eleven districts need critical health services."""
11-May,NA,UN/Sitrep13,central,kavrepalanchok,NA,NA,observation,general assessment,people near highways have received more aid than those in remote areas,"""indicated that people residing near the highway have received more relief materials than those in the remote areas."""
11-May,NA,UN/Sitrep13,central,kavrepalanchok,NA,NA,observation,general assessment,districts needs help but has received little,"""Gap analysis of the number of distributions compared against number of homes damaged/destroys shows that Sindhupalchowk, Kavre and Nuwakot have the greatest needs."""
13-May,government,UN/Sitrep14,central,kavrepalanchok,NA,NA,observation,general assessment,district affected by new earthquake,"""According to the Government, a total of 32 districts were affected including those still recovering from the 25 April earthquake such as"""
13-May,NA,UN/Sitrep14,central,kavrepalanchok,NA,NA,observation,population behavior,incidents of domestic violence dismissed by local police,"""In Kavre, Dhadhing and Nuwakot districts, some incidents of domestic violence have been reportedly dismissed by the local police."""
15-May,NA,UN/Sitrep15,central,kavrepalanchok,NA,NA,observation,damage,district development committee offices severely damaged,"""As a result of the 12 May earthquake, an additional 11 District Development Committee (DDC) offices in Dolaka, Kavre, Dhading and Makwanpur have been severely damaged and the Sindhuli DDC office is partially damaged"""
21-May,NA,UN/Sitrep17,central,kavrepalanchok,NA,NA,need,shelter,land suitability assessments for temporary displacement sites,"""Land suitability assessments for temporary displacement sites are yet to start in"""
29-May,NA,UN/Sitrep19,central,kavrepalanchok,NA,NA,need,population behavior,safe spaces for women/children,"""Safe spaces for women and their children are required as incidents of gender based violence (GBV) have been reported in temporary shelters in Dhading, Nuwakot and Kavre"""
29-May,NA,UN/Sitrep19,central,kavrepalanchok,NA,NA,observation,population behavior,gender-based violence,"""Safe spaces for women and their children are required as incidents of gender based violence (GBV) have been reported in temporary shelters in Dhading, Nuwakot and Kavre"""
26-Apr,NA,UN/Sitrep3,central,lalitpur,NA,NA,observation,general assessment,added to list of most affected districts,"""The most affected districts are Dhading, Gorkha, Rasuwa, Sindhupalchowk, Kavre, Nuwakot, Dolakha, Kathmandu, Lalitpur, Bhaktapur and Ramecchap."""
27-Apr,NA,UN/Sitrep4,central,lalitpur,NA,NA,observation,general assessment,among the highest death counts,"""Most of the deaths are recorded in Bhaktapur, Kathmandu and Lalitpur."""
29-Apr,NA,UN/Sitrep6,central,lalitpur,NA,NA,observation,casualties,159 deaths,"""(1,039 deaths in Kathmandu, 250 in Bhaktapur and 159 in Lalitpur districts)"""
29-Apr,NA,UN/Sitrep6,central,lalitpur,NA,NA,observation,general assessment,(inter)national relief efforts now in nine districts,"""National and international rescue and relief efforts have expanded to nine districts"""
29-Apr,NA,UN/Sitrep6,central,lalitpur,NA,NA,need,nutrition,identified for immediate food assistance,"""Twelve districts have been identified for immediate food assistance"""
29-Apr,NA,UN/Sitrep6,central,lalitpur,NA,NA,need,medical,"priority district for health intervention. Medical tents, medicines","""are the 11 priority districts for health intervention where medical tents with 50 bed capacity, essential medicine, and services in camps are urgently needed."""
29-Apr,NA,UN/Sitrep6,central,lalitpur,NA,NA,observation,general assessment,identified as district generally most in need (on priority list),"""The most affected districts are being reported to be """
30-Apr,government,UN/Sitrep7,central,lalitpur,NA,NA,observation,damage,district with the highest number of destroyed houses,"""The districts with the highest numer of damaged houses are Nuwakot, Dhading, Kathmandu and Lalitpur."""
30-Apr,NA,UN/Sitrep7,central,lalitpur,NA,NA,need,medical,need critical health services,"""Eleven districts need critical health services."""
13-May,government,UN/Sitrep14,central,lalitpur,NA,NA,observation,general assessment,district affected by new earthquake,"""According to the Government, a total of 32 districts were affected including those still recovering from the 25 April earthquake such as"""
21-May,NA,UN/Sitrep17,central,lalitpur,NA,NA,observation,sanitation,no toilets for women - women stop eating/drinking,"""There is a lack of female-friendly public toilets in Lalitpur causing most women to avoid consuming food and water so as to avoid the use of public facilities."""
25-Apr,NA,UN/Sitrep1,western,lamjung,NA,NA,observation,general assessment,area is very affected,"""Most affected areas are Gorkha and Lamjung Districts (north-west of Kathmandu)."""
25-Apr,NA,UN/Sitrep1,western,lamjung,NA,NA,observation,shocks,epicenter of 7.8 magnitude earthquake at 11.56,"""At 11:56 local time, a 7.8 magnitude earthquake struck Nepal, with epicenter in Lamjung District (north-west) of Kathmandu; south of China border)."""
25-Apr,government,UN/Sitrep1,western,lamjung,NA,NA,observation,medical,teams are sent to Lamjung,"""are sending medical teams to worst affected areas - Gorkha and Lamjung"""
28-Apr,NA,UN/Sitrep5,western,lamjung,NA,NA,observation,damage,at least 90% of houses are damaged,"""A scoping mission conducted in Gorkha, Lamjung and Dhading, where at least 90 percent of the houses are damaged"""
29-Apr,NA,UN/Sitrep6,western,lamjung,NA,NA,observation,general assessment,identified as district generally most in need (on priority list),"""The most affected districts are being reported to be """
29-Apr,NA,UN/Sitrep6,central,makwanpur,NA,NA,need,nutrition,identified for immediate food assistance,"""Twelve districts have been identified for immediate food assistance"""
01-May,NA,UN/Sitrep8,central,makwanpur,NA,NA,observation,general assessment,added to list of most affected districts,"""Following initial assessments, the Government has extended the most affected area to include Makawanpur and Sindhuli districts"""
01-May,NA,UN/Sitrep8,central,makwanpur,NA,NA,observation,general assessment,sudden increase in number of injured; new priority district for health assistance,"""The Government has prioritized two new districts (Makawanpur and Sindhuli) for urgent health assistance, given the sudden increase in the numbers of injured."""
11-May,NA,UN/Sitrep13,central,makwanpur,NA,NA,observation,shelter,reports of spontaneous settlements,"""DTM teams were deployed to Makwanpur and Dhading districts to verify reports of spontaneous settlements set up by people who lost their homes."""
15-May,NA,UN/Sitrep15,central,makwanpur,NA,NA,observation,damage,additional damage from 12 may quake,"""There were reports of additional damage to already vulnerable buildings following the 12 May quake."""
15-May,NA,UN/Sitrep15,central,makwanpur,NA,NA,need,shelter,quality tarpaulins,"""However, quality tarpaulins and support for reestablishment of damaged schools are still required."""
15-May,NA,UN/Sitrep15,central,makwanpur,NA,NA,need,children,support for reestablishment of schools,"""However, quality tarpaulins and support for reestablishment of damaged schools are still required."""
15-May,NA,UN/Sitrep15,central,makwanpur,NA,NA,observation,damage,district development committee offices severely damaged,"""As a result of the 12 May earthquake, an additional 11 District Development Committee (DDC) offices in Dolaka, Kavre, Dhading and Makwanpur have been severely damaged and the Sindhuli DDC office is partially damaged"""
29-Apr,NA,UN/Sitrep6,eastern,morang,biratnagar,biratnagar airport,observation,transport,landing permission for C17 airplanes,"""Landing permissions have been given at Pokhara, Biratnagar and Nepalgunj airports to C17 airplanes and those with similar capacity."""
24-May,NA,UN/Sitrep18,western,myagdi,kali gandaki,NA,observation,general assessment,landslide led to evacuations,"""On 24 May, landslide in Kali Gandaki (Myagdi District) in the Himalayas blocked the river temporarily forming a lake which caused families in downstream villages to evacuate."""
25-Apr,government,UN/Sitrep1,NA,NA,NA,NA,observation,casualties,700-1000 casualties,"""Latest government figures on total causalities are between 700-1000. This is expected to increase."""
25-Apr,government,UN/Sitrep1,NA,NA,NA,NA,observation,general assessment,30 out of 75 districts affected,"""Total affected population not yet determined but 30 of 75 districts are reported to be affected."""
25-Apr,UN field offices,UN/Sitrep1,eastern regions,NA,NA,NA,observation,general assessment,not badly affected,"""Initial reports from UN field offices are that the Eastern Region is not badly affected and Terrai has been minimally affected."""
25-Apr,NA,UN/Sitrep1,NA,NA,NA,NA,observation,population behavior,people stay outside,"""Majority of population remaining outside houses due to fear of aftershocks and structural damage to buildings."""
25-Apr,government,UN/Sitrep1,NA,NA,NA,NA,need,search&rescue,need for search & rescue teams,"""Government is currently reporting that needs include: Search and Rescue capacity"""
25-Apr,government,UN/Sitrep1,NA,NA,NA,NA,need,medical,need for medical teams,"""Government is currently reporting that needs include: […] medical teams"""
25-Apr,government,UN/Sitrep1,NA,NA,NA,NA,need,medical,need for emergency supplies,"""Government is currently reporting that needs include: […] supplies"""
25-Apr,government,UN/Sitrep1,NA,NA,NA,NA,need,medical,need for tents,"""Government is currently reporting that needs include: […] tenting for hospitals"""
25-Apr,government,UN/Sitrep1,NA,NA,NA,NA,need,medical,need for dead-body bags,"""Government is currently reporting that needs include: […] dead-body bags"""
25-Apr,government,UN/Sitrep1,NA,NA,NA,NA,need,damage,need for clearing-up equipment,"""Government is currently reporting that needs include: […] heavy equipment for rubble removal"""
25-Apr,government,UN/Sitrep1,NA,NA,NA,NA,need,transport,need for helicopters for access to remote areas,"""Government is currently reporting that needs include: […] helicopters for transport and access to remote areas"""
25-Apr,government,UN/Sitrep1,NA,NA,NA,NA,observation,medical,all hospital staff mobilized,"""Government reports that all hospital staff mobilized"""
25-Apr,government,UN/Sitrep1,NA,NA,NA,NA,observation,shelter,displaced camps in Kathmandu,"""Government is intending to set-up displaced camps in Kathmandu Valley and outside, where there are APF bases as these have established water supply and security."""
25-Apr,government,UN/Sitrep1,NA,NA,NA,NA,need,nutrition,unclear on emergency food stocks,"""Government is unclear on emergency food stocks."""
25-Apr,government,UN/Sitrep1,NA,NA,NA,NA,observation,damage,will mobilize construction sector for rubble removal,"""Government was requested to mobilize the construction sector for rubble removal."""
25-Apr,government,UN/Sitrep1,NA,NA,NA,NA,observation,transport,unclarity about customs clearance re. aid,"""Government has been requested but is still unclear on expedited customs clearance for emergency crago and processes at the airport."""
26-Apr,government,UN/Sitrep2,NA,NA,NA,NA,observation,casualties,1900+ deaths and 5000+ injuries; increase expected,"""Government reporting over 1900 deaths and over 5000 injuries; this is expected to increase."""
26-Apr,NA,UN/Sitrep2,NA,NA,NA,NA,observation,casualties,no confirmed figures on total affected population,"""No confirmed figures yet on affected populations in the affected areas."""
26-Apr,NA,UN/Sitrep2,NA,NA,NA,NA,observation,population behavior,people stayed outside for the night,"""Majority of population remained outside houses for the first night"""
26-Apr,NA,UN/Sitrep2,NA,NA,NA,NA,observation,general assessment,aftershocks,"""heavy aftershocks continued through the night"""
26-Apr,NA,UN/Sitrep2,NA,NA,NA,NA,need,medical,many head and spinal injuries requiring airlifting,"""Immediate priorities are managing dead bodies and injured (many head and spinal injuries requiring airlifting)."""
26-Apr,NA,UN/Sitrep2,NA,NA,NA,NA,need,medical,beds,"""There are not enough beds, many injured are treated on the ground."""
26-Apr,NA,UN/Sitrep2,NA,NA,NA,NA,observation,medical,transportation/logistics difficult,"""International and local Health teams are being mobilized, however transportation and logistics is an issue."""
26-Apr,NA,UN/Sitrep2,NA,NA,NA,NA,need,medical,"medical teams needed: surgeons, orthopedics, paramedics","""There is a need for surgeons, orthopedics, and paramedics, as well as logistics support."""
26-Apr,NA,UN/Sitrep2,NA,NA,NA,NA,need,medical,logistics support,"""There is a need for surgeons, orthopedics, and paramedics, as well as logistics support."""
26-Apr,NA,UN/Sitrep2,NA,NA,NA,NA,need,medical,field hospital tents,"""Field hopsital Tents are badly needed."""
26-Apr,NA,UN/Sitrep2,NA,NA,NA,NA,need,medical,blankets,"""Blankets are also needed."""
26-Apr,NA,UN/Sitrep2,NA,NA,NA,NA,need,medical,coordination,"""Many partners are offering tents but the requests need to be coordinated."""
26-Apr,government,UN/Sitrep3,NA,NA,NA,NA,observation,casualties,2288 deaths and 5850 casualties,"""According to the Government, the earthquake caused 2,288 deaths. Over 5,500 people are injured."""
26-Apr,NA,UN/Sitrep3,NA,NA,NA,NA,observation,shocks,6.7 magnitude earthquake at 12.54,"""Dozens of aftershocks followed, including a 6.7 magnitude earthquake on 26 April 2015 at 12.54 local time."""
26-Apr,NA,UN/Sitrep3,NA,NA,NA,NA,observation,shocks,many aftershocks,"""Dozens of aftershocks followed, including a 6.7 magnitude earthquake on 26 April 2015 at 12.54 local time."""
26-Apr,government,UN/Sitrep3,western,NA,NA,NA,observation,general assessment,areas affected,"""The Government reports that 35 of 75 districts are affected in the Western and Central Regions, including the Kathmandu Valley districts."""
26-Apr,government,UN/Sitrep3,central,NA,NA,NA,observation,general assessment,areas affected,"""The Government reports that 35 of 75 districts are affected in the Western and Central Regions, including the Kathmandu Valley districts."""
26-Apr,NA,UN/Sitrep3,NA,NA,NA,NA,observation,population behavior,people stay outside for 2nd night,"""The majority of people remain outside houses for the second consecutive night."""
26-Apr,NA,UN/Sitrep3,NA,NA,NA,NA,need,medical,drugs and consumables needed,NA
26-Apr,NA,UN/Sitrep3,NA,NA,NA,NA,need,medical,unclarity about amount of RM vaccines. Priority given to collecting stocks for outbreaks,"""There is currently no stock of MR vaccine at the central level, but a reported 2 months of stock on hand at RMS level. Given the possibility of a measles outbreak following the earthquake, procurement of MR vaccine is an immediate priority."""
27-Apr,government,UN/Sitrep4,NA,NA,NA,NA,observation,population behavior,rumors about upcoming aftershocks dismissed by government,"""On 27 April, the Government has issued a public statement dispelling rumors of another imminent large earthquake and encouraging people to return home, where possible."""
27-Apr,NA,UN/Sitrep4,NA,NA,NA,NA,observation,population behavior,people still sleep outside,"""Many people continue to sleep outdoors."""
27-Apr,government,UN/Sitrep4,NA,NA,NA,NA,observation,casualties,"3,351 deaths and 6,833 injuries","""Over the past 24 hours, the Government increased the number of deaths from 2,288 to 3,351 people. At the same time, the number of injured rose from 5,850 to 6,833 people."""
27-Apr,NA,UN/Sitrep4,NA,NA,NA,NA,observation,general assessment,8 million people in 39 districts affected,"""According to initial estimations and based on the latest earthquake intensity mapping, 8 million people in 39 districts have been affected, of which over 2 million people live in the 11 severely affected districts."""
27-Apr,NA,UN/Sitrep4,NA,NA,NA,NA,observation,general assessment,most damage in 11 districts; 2 million affected,"""According to initial estimations and based on the latest earthquake intensity mapping, 8 million people in 39 districts have been affected, of which over 2 million people live in the 11 severely affected districts."""
27-Apr,NA,UN/Sitrep4,NA,NA,NA,NA,need,nutrition,1.4 million in need of food assistance; 750.000 of them live near epicenter in poor conditions,"""According to early indications, 1.4 million people are in need of food assistance. Of these, 750,000 people live near the epicenter in poor quality housing."""
27-Apr,NA,UN/Sitrep4,NA,NA,NA,NA,observation,nutrition,impact on food security high,"""Impact on agriculture based livelihoods and food security is expected to be extremely high."""
27-Apr,NA,UN/Sitrep4,NA,NA,NA,NA,need,nutrition,unclarity about national food stocks,"""Clarity on the use of existing food stocks from the Nepal Food Corporation (NFC) is required to determine levels of support required for food security."""
27-Apr,NA,UN/Sitrep4,NA,NA,NA,NA,observation,medical,no intensive care unit beds available in hub hospitals,"""Hospital capacity is overwhelmed with no Intensive Care Unit (ICU) beds available in hub hospitals."""
27-Apr,NA,UN/Sitrep4,NA,NA,NA,NA,need,medical,oxygen,"""Hospitals are require medical supplies, such as oxygen"""
27-Apr,NA,UN/Sitrep4,NA,NA,NA,NA,observation,transport,access to many affected areas extremely limited,"""Due to the mountainous geography, infrastructure damage, collapsed bridges and damaged roads, access to many of the affected areas is reported to be extremely limited."""
27-Apr,NA,UN/Sitrep4,NA,NA,NA,NA,need,transport,clarity about status of roads,"""The status of the roads is unclear which may further intterrupt the delivery of humanitarian relief items."""
27-Apr,NA,UN/Sitrep4,NA,NA,NA,NA,observation,shocks,large aftershocks continue,"""Large aftershocks continue to hit the region which could cause further damage to infrastructure already weakened by the initial earthquake."""
27-Apr,NA,UN/Sitrep4,NA,NA,NA,NA,need,shelter,"tents, dignity kits, recreation kits","""Affected people need tents, dignity kits, recreation kits."""
27-Apr,NA,UN/Sitrep4,NA,NA,NA,NA,need,population behavior,"psychosocial support, safe spaces (women/children)","""Urgent needs also include psychosocial support, the establishment of safe spaces, protection of women and children from gender based violence, family reunification of separate children and clothes for women and children."""
27-Apr,NA,UN/Sitrep4,NA,NA,NA,NA,need,population behavior,reunification of parents and children,"""Urgent needs also include psychosocial support, the establishment of safe spaces, protection of women and children from gender based violence, family reunification of separate children and clothes for women and children."""
